,rdma1,rdma2,rdma3,tcp1,tcp2,tcp3
0,162,157,155,404,388,465
1,43,42,41,309,425,403
2,42,45,44,234,454,389
3,41,38,38,247,463,370
4,49,49,48,240,596,337
5,36,38,36,279,674,337
6,35,37,38,265,645,334
7,37,44,37,306,673,353
8,45,44,44,289,675,394
9,13,37,36,230,623,357
10,37,36,36,225,616,275
11,20,37,38,295,613,359
12,37,36,36,236,684,413
13,36,39,38,250,668,371
14,37,23,36,225,690,356
15,36,36,35,271,746,381
16,45,46,46,308,751,391
17,36,37,36,254,811,400
18,45,40,40,234,813,343
19,37,37,54,307,792,345
20,35,34,34,253,800,360
21,35,37,34,290,848,361
22,37,36,37,350,880,380
23,35,34,34,339,871,346
24,38,35,35,423,909,360
25,14,37,36,371,890,465
26,35,35,17,353,884,493
27,36,34,36,371,869,419
28,35,33,35,339,884,447
29,37,36,36,362,871,509
30,37,38,37,386,852,602
31,34,36,36,297,863,526
32,65,48,47,329,864,479
33,40,39,23,308,841,516
34,34,32,36,285,814,589
35,34,34,36,257,818,585
36,37,35,37,276,849,624
37,34,35,36,303,892,648
38,34,35,36,275,908,640
39,34,34,33,255,957,632
40,35,34,13,291,897,656
41,36,33,36,270,946,713
42,35,33,36,272,927,743
43,35,35,36,298,847,817
44,42,41,41,250,875,786
45,32,34,35,266,873,753
46,34,34,34,251,853,781
47,34,34,13,280,880,763
48,35,49,35,269,937,794
49,37,34,37,269,889,868
50,34,33,35,342,874,827
51,34,35,35,337,958,883
52,34,34,36,278,886,789
53,33,33,33,290,931,816
54,12,33,42,263,897,869
55,35,34,36,258,931,802
56,35,34,35,326,858,868
57,35,35,36,248,848,879
58,34,33,34,293,886,896
59,32,28,34,339,860,902
60,35,36,35,355,844,867
61,34,34,35,342,869,870
62,36,35,36,314,852,868
63,12,37,36,367,865,894
64,56,57,57,324,864,976
65,35,35,35,267,864,923
66,33,34,34,267,899,917
67,32,34,33,261,843,908
68,34,34,35,251,853,873
69,34,28,34,263,874,894
70,32,33,34,238,883,928
71,33,35,36,265,883,895
72,33,34,34,258,859,882
73,32,33,35,203,897,908
74,36,38,37,214,916,961
75,32,31,33,262,892,938
76,34,17,12,308,884,924
77,34,37,34,275,904,911
78,33,34,34,299,900,927
79,34,35,36,317,901,952
80,32,34,34,357,914,982
81,34,34,34,326,860,935
82,33,33,33,338,894,945
83,33,34,34,286,951,892
84,43,36,33,285,903,880
85,33,33,33,289,875,913
86,38,37,36,330,922,977
87,36,34,43,343,897,942
88,34,33,31,325,931,1041
89,33,32,31,408,904,1011
90,34,16,33,326,907,993
