,rdma1,rdma2,rdma3,tcp1,tcp2,tcp3
0,122,,152,413,376,364
1,46,48,45,340,312,348
2,39,36,38,350,303,401
3,37,36,38,344,324,393
4,51,54,49,345,333,356
5,38,37,37,337,332,347
6,38,36,35,298,341,346
7,37,36,38,335,339,347
8,51,52,45,396,262,351
9,41,41,40,408,303,407
10,37,37,36,482,344,439
11,36,36,37,543,336,442
12,35,37,37,615,371,529
13,35,51,35,645,314,554
14,37,36,16,706,366,541
15,18,19,36,774,377,578
16,48,49,51,770,377,559
17,40,40,40,2583,2828,2788
18,35,35,35,2030,2221,2207
19,36,37,37,1528,1728,1738
20,34,34,34,1538,1567,1584
21,36,36,13,1582,1558,1597
22,44,47,38,2867,2751,2814
23,40,43,38,2311,2156,2210
24,35,35,35,1773,1633,1782
25,34,34,34,1804,1554,1619
26,35,34,35,1833,1572,1574
27,34,33,35,3061,2791,2836
28,34,35,17,2505,2212,2254
29,14,13,34,2042,1714,1801
30,41,37,35,1963,1600,1584
31,40,36,34,2021,1604,1596
32,62,57,70,3304,2836,2768
33,44,35,39,2757,2243,2162
34,39,33,40,2216,1726,1612
35,40,35,21,2197,1595,1610
36,76,51,38,2245,1571,1603
37,43,39,48,3545,2817,2824
38,39,35,37,2993,2218,2229
39,38,34,35,2459,1751,1744
40,39,34,34,2478,1615,1611
41,37,34,35,2479,1579,1614
42,39,33,39,3782,2814,2861
43,45,39,42,3227,2213,2267
44,39,35,35,2739,1751,1768
45,40,35,34,2749,1615,1652
46,39,35,34,2766,1562,1631
47,39,35,35,3994,2798,2893
48,38,34,35,3440,2204,2299
49,48,56,23,2923,1681,1799
50,38,35,36,2897,1587,1759
51,12,34,35,2962,1568,1773
52,39,34,36,4180,2769,2919
53,38,33,35,3623,2199,2315
54,40,34,36,3091,1694,1809
55,42,38,40,3169,1570,1743
56,36,33,17,3217,1553,1715
57,39,34,36,4457,2817,2947
58,11,33,46,3899,2218,2355
59,11,35,34,3403,1683,1923
60,40,33,36,3423,1599,1681
61,39,33,35,3412,1627,1685
62,38,33,35,4707,2838,2933
63,36,50,35,4144,2249,2363
64,75,72,82,3625,1758,1850
65,38,34,36,3580,1488,1661
66,37,35,33,3627,1551,1660
67,41,37,39,4880,2720,2892
68,38,42,35,4322,2129,2297
69,37,33,34,3791,1582,1880
70,37,16,34,3801,1520,1750
71,38,34,34,3894,1497,1815
72,37,34,33,5092,2792,3096
73,42,38,40,4534,2207,2499
74,37,34,33,4060,1809,2072
75,36,32,35,3999,1631,1905
76,38,35,34,4059,1661,1928
77,51,17,32,5331,2915,3082
78,33,35,32,4766,2324,2479
79,37,38,42,4245,1949,1998
80,32,34,45,4212,1647,1911
81,33,34,32,4262,1693,1958
82,33,32,31,5514,2954,3113
83,32,33,40,4962,2367,2550
84,42,17,35,4430,1891,2024
85,36,34,10,4464,1748,1938
86,33,33,31,4500,1700,1937
87,37,35,35,5737,2975,3248
88,34,34,33,5181,2394,2653
89,33,32,33,4671,2030,2209
90,37,39,38,4667,1847,2152
91,33,12,33,4730,1801,2039
92,35,34,33,6046,2997,3269
93,32,33,36,5489,2394,2655
94,33,34,31,4979,1954,2168
95,33,34,34,4990,1792,2061
96,35,36,39,5020,1749,2074
97,32,34,34,6286,3058,3273
98,16,40,35,5734,2459,2677
99,34,34,34,5219,2045,2162
100,34,34,33,5176,1886,2118
101,33,33,31,5224,1892,2038
102,37,37,38,6520,3077,3220
103,41,32,34,5962,2478,2663
104,33,32,23,5487,2050,2143
105,13,34,35,5446,1881,2075
106,33,34,34,5509,1836,1980
107,33,34,35,6774,3095,3269
108,38,38,39,6219,2515,2677
109,33,34,34,5735,2065,2214
110,32,32,33,5699,1903,2128
111,34,32,34,5714,1871,2053
112,13,34,34,6978,3143,3313
113,34,34,34,6424,2536,2718
114,37,40,38,5896,2114,2164
115,33,34,33,5920,1982,2131
116,34,34,32,5937,1945,2127
117,31,31,33,7212,3201,3364
118,33,33,12,6660,2598,2781
119,12,33,32,6156,2189,2344
120,37,37,36,6055,1954,2251
121,33,32,33,6122,1965,2211
122,33,33,33,7396,3219,3463
123,33,33,32,6840,2603,2903
124,32,31,32,6342,2165,2462
125,33,31,34,6308,1927,2278
126,33,33,32,6329,1985,2198
127,33,33,34,7593,3233,3528
128,121,120,141,7038,2642,2930
129,32,37,36,6457,2033,2331
130,32,31,34,6358,1947,2113
131,30,33,32,6400,1942,2066
132,32,32,33,7639,3087,3349
133,31,32,31,7063,2481,2766
134,35,36,37,6544,1919,2339
135,31,31,31,6574,1843,2184
136,32,32,34,6626,1867,2211
137,32,32,31,7932,3067,3450
138,32,31,11,7376,2501,2863
139,32,32,31,6836,2093,2446
140,36,36,38,6854,1837,2249
141,32,32,33,6889,1827,2274
142,32,32,34,8150,3075,3542
143,32,31,33,7594,2479,2941
144,31,30,33,7071,1956,2541
145,31,31,38,7096,1838,2385
146,35,53,37,7085,1868,2370
147,32,33,33,8369,3072,3646
148,31,31,32,7810,2469,3047
149,31,32,31,7284,1982,2580
150,31,31,33,7324,1892,2436
151,30,31,38,7346,1920,2395
152,35,35,47,8653,3183,3613
153,35,35,34,8101,2592,3000
154,32,31,31,7573,2109,2531
155,31,32,30,7593,2034,2355
156,32,33,30,7625,2022,2299
157,35,35,35,8875,3223,3566
158,31,30,32,8322,2602,2956
159,31,31,31,7795,2082,2543
160,14,14,11,7809,2011,2356
161,33,32,31,7850,2003,2410
162,33,33,31,9128,3236,3677
163,35,36,40,8575,2630,3087
164,32,32,32,8105,2230,2601
165,31,31,31,8094,2030,2426
166,32,33,32,8144,2067,2469
167,15,15,32,9449,3291,3675
168,33,32,32,8894,2702,3076
169,36,35,36,8408,2229,2737
170,36,32,35,8396,2050,2488
171,33,32,31,8437,1974,2458
172,30,30,41,9667,3227,3766
173,31,32,32,9112,2627,3164
174,15,11,33,8598,2150,2617
175,38,37,36,8619,1953,2587
176,33,32,32,8602,1991,2525
177,32,32,38,9884,3217,3818
178,32,32,31,9327,2617,3214
179,40,30,37,8800,2184,2759
180,31,32,31,8901,2002,2591
181,15,15,36,8941,1978,2583
182,32,34,31,10231,3221,3824
183,32,31,32,9677,2634,3219
184,31,33,31,9153,2183,2802
185,32,32,35,9124,2040,2545
186,30,30,33,9152,2016,2563
187,52,35,30,10425,3285,3749
188,12,12,34,9865,2693,3173
189,32,32,32,9333,2204,2715
190,32,32,31,9346,2063,2620
191,32,32,34,9429,2082,2609
192,32,32,33,10724,3294,3849
193,39,34,36,10171,2692,3260
194,32,31,29,9653,2240,2741
195,13,33,33,9667,2054,2623
